,Aircraft,Type of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Date of Post,Overall Rating (/10)
817,Boeing 787-9,Solo Leisure,Business Class,March 2020,4,4,5,5,4,5,4,Yes,29th March 2020,9
818,,Couple Leisure,Economy Class,February 2020,4,3,2,3,4,3,4,Yes,27th March 2020,7
819,,Solo Leisure,Economy Class,April 2019,1,1,1,1,1,1,1,No,26th March 2020,1
820,,Family Leisure,Economy Class,March 2020,1,1,,,1,,1,No,23rd March 2020,1
821,BOEING 787-8,Couple Leisure,Premium Economy,March 2020,2,1,1,4,3,,1,No,23rd March 2020,1
822,,Family Leisure,Economy Class,March 2020,5,5,5,5,5,,4,Yes,22nd March 2020,9
823,B787-900,Family Leisure,Economy Class,February 2020,,,,,,,1,No,20th March 2020,1
824,,Solo Leisure,Economy Class,March 2020,1,1,,,1,,1,No,18th March 2020,1
825,,Couple Leisure,Premium Economy,March 2020,,,,,,,1,No,18th March 2020,1
826,,Family Leisure,Premium Economy,February 2020,5,5,5,5,5,5,5,Yes,17th March 2020,10
827,,Solo Leisure,Economy Class,February 2020,,,,,,,1,No,15th March 2020,1
828,Boeing 777,Solo Leisure,Business Class,February 2020,5,4,4,5,4,,4,Yes,15th March 2020,9
829,,Business,Economy Class,December 2019,,,,,,,1,Yes,11th March 2020,1
830,,Solo Leisure,Economy Class,January 2020,1,1,3,,2,,2,No,10th March 2020,3
831,,Couple Leisure,Economy Class,February 2020,3,4,3,3,1,2,1,No,9th March 2020,1
832,,Family Leisure,Economy Class,February 2020,3,2,1,3,1,1,1,No,7th March 2020,1
833,,Couple Leisure,Premium Economy,March 2020,2,2,1,4,1,,1,No,5th March 2020,1
834,,Solo Leisure,Economy Class,February 2020,2,3,1,3,3,,1,No,4th March 2020,1
835,,Solo Leisure,Economy Class,March 2020,1,3,,,1,1,1,No,3rd March 2020,1
836,,Solo Leisure,Economy Class,February 2020,1,1,,,1,,1,No,1st March 2020,1
837,Boeing 787,Business,Economy Class,November 2019,4,3,5,4,4,,4,Yes,28th February 2020,7
838,Boeing 777-200LR,Couple Leisure,Premium Economy,February 2020,3,3,1,5,5,,3,No,25th February 2020,6
839,,Business,Economy Class,February 2020,3,4,,,2,,2,No,19th February 2020,3
840,,Solo Leisure,Economy Class,September 2019,3,4,3,,4,,4,Yes,19th February 2020,8
841,,Couple Leisure,Economy Class,December 2019,3,1,1,3,1,,1,No,18th February 2020,1
842,,Family Leisure,Economy Class,January 2020,1,3,2,2,3,3,1,No,18th February 2020,2
843,Boeing 787,Solo Leisure,Economy Class,February 2020,1,3,2,3,2,1,3,Yes,17th February 2020,8
844,,Solo Leisure,Premium Economy,February 2020,1,1,1,1,1,1,1,No,17th February 2020,1
845,Boeing 787-9,Family Leisure,Business Class,February 2020,4,5,5,5,4,5,5,Yes,16th February 2020,10
846,,Business,Premium Economy,February 2020,2,2,1,1,1,,1,No,16th February 2020,2
847,,Couple Leisure,Economy Class,February 2020,1,1,1,1,1,1,1,No,16th February 2020,1
848,,Couple Leisure,Economy Class,February 2020,1,1,,1,1,1,1,No,15th February 2020,1
849,,Solo Leisure,Economy Class,February 2020,2,4,2,2,1,3,2,No,14th February 2020,2
850,,Business,Economy Class,December 2019,4,5,4,4,1,4,2,No,14th February 2020,3
851,,Solo Leisure,Economy Class,January 2020,1,1,1,3,1,1,1,No,13th February 2020,1
852,,Couple Leisure,Economy Class,February 2020,3,2,2,4,3,,3,No,12th February 2020,5
853,,Family Leisure,Economy Class,February 2020,2,2,,,1,,2,No,11th February 2020,2
854,,Solo Leisure,Economy Class,February 2020,1,1,,,1,,1,No,11th February 2020,1
855,,Family Leisure,Economy Class,February 2020,2,1,1,3,3,,3,No,9th February 2020,2
856,,Solo Leisure,Economy Class,February 2020,,,,,1,,1,No,8th February 2020,1
857,A320-200,Business,Economy Class,February 2020,3,4,3,4,2,3,3,No,7th February 2020,2
858,,Solo Leisure,Economy Class,May 2019,5,5,3,,5,1,3,Yes,7th February 2020,6
859,E175,Business,Economy Class,January 2020,3,3,2,,1,,3,No,3rd February 2020,1
860,A220-300,Business,Business Class,January 2020,5,5,5,5,5,5,4,Yes,2nd February 2020,10
861,Boeing 777-300ER,Solo Leisure,Economy Class,January 2020,3,1,3,4,4,2,3,No,1st February 2020,4
862,Embraer 190,Couple Leisure,Economy Class,January 2020,1,3,,3,1,,1,No,31st January 2020,1
863,Dash-8,Solo Leisure,Economy Class,January 2020,3,3,,,1,,2,No,28th January 2020,1
864,,Couple Leisure,Premium Economy,December 2019,2,2,,1,1,1,1,No,26th January 2020,1
865,,Solo Leisure,Business Class,January 2020,5,5,5,4,5,,5,Yes,24th January 2020,10
866,Boeing 777-300,Couple Leisure,Economy Class,January 2020,1,2,1,4,2,,2,No,23rd January 2020,3
867,,Business,Business Class,December 2019,4,4,,,1,,2,Yes,21st January 2020,2
868,,Family Leisure,Economy Class,January 2020,1,1,,2,1,,1,No,20th January 2020,1
869,A220-300,Solo Leisure,Economy Class,January 2020,1,1,3,5,4,5,2,No,18th January 2020,4
870,Boeing 777,Solo Leisure,Economy Class,January 2020,1,1,1,1,1,1,1,No,18th January 2020,1
871,,Family Leisure,Economy Class,December 2019,4,5,5,5,2,,3,No,17th January 2020,5
872,Boeing 767-200,Couple Leisure,Business Class,January 2020,1,3,3,1,3,1,1,No,15th January 2020,2
873,,Business,Economy Class,January 2020,2,2,,,1,,1,No,11th January 2020,1
874,CRJ 900,Business,Business Class,January 2020,1,1,1,1,1,1,1,No,11th January 2020,1
875,Boeing 777-300ER,Solo Leisure,Economy Class,January 2020,1,1,1,1,3,,1,No,9th January 2020,1
876,,Couple Leisure,Economy Class,January 2020,1,2,1,1,1,1,1,No,8th January 2020,1
877,,Business,Economy Class,January 2020,3,4,3,,1,,1,No,8th January 2020,2
878,,Couple Leisure,Premium Economy,December 2019,2,1,2,2,4,,3,No,7th January 2020,2
879,,Family Leisure,Economy Class,January 2020,1,1,,,1,,1,No,7th January 2020,2
880,B777-30,Business,Economy Class,January 2020,4,5,4,4,1,4,4,No,6th January 2020,1
881,,Solo Leisure,Economy Class,December 2019,1,1,1,3,4,2,1,No,5th January 2020,1
882,,Solo Leisure,Economy Class,January 2020,2,1,,,1,,1,No,5th January 2020,1
883,,Couple Leisure,Economy Class,December 2019,,,,,,,4,No,1st January 2020,3
884,,Business,Economy Class,December 2019,3,3,3,,1,,1,No,1st January 2020,1
885,,Family Leisure,Economy Class,December 2019,1,,,,1,,1,No,30th December 2019,1
886,,Family Leisure,Economy Class,December 2019,2,2,1,1,1,1,1,No,30th December 2019,1
887,A321,Solo Leisure,Economy Class,December 2019,1,,,,1,,1,No,27th December 2019,1
888,Boeing 787,Solo Leisure,Economy Class,December 2019,3,3,3,,1,,1,No,27th December 2019,1
889,A330-300,Couple Leisure,Economy Class,December 2019,2,3,1,3,4,3,2,No,24th December 2019,3
890,,Solo Leisure,Economy Class,December 2019,2,2,2,2,1,,1,No,24th December 2019,1
891,,Solo Leisure,Economy Class,December 2019,1,1,1,1,1,1,1,No,22nd December 2019,1
892,,Couple Leisure,Economy Class,December 2019,1,3,1,3,3,,3,No,22nd December 2019,1
893,,Business,Economy Class,December 2019,3,3,3,2,2,2,2,No,21st December 2019,2
894,,Business,Economy Class,December 2019,1,1,2,,1,,1,No,21st December 2019,1
895,,Family Leisure,Economy Class,December 2019,,,,,1,,3,No,21st December 2019,2
896,Boeing 777,Family Leisure,Economy Class,December 2019,3,3,3,4,3,3,3,No,19th December 2019,4
897,Boeing 777,Business,Economy Class,December 2019,4,5,3,3,2,,2,Yes,19th December 2019,7
898,,Couple Leisure,Economy Class,December 2019,1,1,,,1,,1,No,19th December 2019,1
899,,Business,Economy Class,December 2019,5,5,5,5,5,5,5,Yes,18th December 2019,10
900,,Solo Leisure,Premium Economy,December 2019,1,1,1,,3,,1,No,18th December 2019,1
901,,Business,Economy Class,December 2019,1,1,,1,1,,1,No,18th December 2019,1
902,,Solo Leisure,Economy Class,December 2019,,,,,,,2,No,17th December 2019,1
903,,Solo Leisure,Economy Class,December 2019,1,1,1,,1,,1,No,16th December 2019,1
904,Boeing 777,Business,Business Class,January 2019,3,4,4,5,5,,4,Yes,16th December 2019,8
905,,Couple Leisure,Economy Class,December 2019,3,5,4,4,1,,1,No,15th December 2019,2
906,,Business,Economy Class,November 2019,1,1,1,1,1,1,1,No,11th December 2019,1
907,Embrace 175,Business,Business Class,December 2019,3,2,3,1,1,1,1,No,9th December 2019,3
908,,Business,Economy Class,January 2019,3,3,,,1,,1,No,8th December 2019,1
909,,Couple Leisure,Economy Class,January 2020,,,,,,,1,No,6th December 2019,1
910,,Business,Economy Class,December 2019,2,1,2,1,1,,1,No,5th December 2019,1
911,,Business,Economy Class,November 2019,,,,,,,1,No,4th December 2019,1
912,,Couple Leisure,Economy Class,December 2019,3,3,3,4,1,3,1,No,3rd December 2019,1
913,Boeing 787,Business,Economy Class,December 2019,2,1,2,4,1,2,1,No,3rd December 2019,1
914,,Business,Business Class,November 2019,4,4,4,4,1,3,2,No,1st December 2019,2
915,,Business,Economy Class,November 2019,1,1,1,3,4,,2,No,30th November 2019,2
916,,Couple Leisure,Premium Economy,October 2019,1,1,1,2,1,,1,No,30th November 2019,1
917,Boeing 787-8,Couple Leisure,Premium Economy,November 2019,2,2,1,3,1,,2,No,30th November 2019,1
918,,Couple Leisure,Economy Class,November 2019,1,,,3,1,,1,No,30th November 2019,1
919,Boeing 787-9,Business,Economy Class,November 2019,3,3,2,3,4,,4,Yes,29th November 2019,8
920,A330-300,Couple Leisure,Business Class,October 2019,1,2,1,1,1,,1,No,28th November 2019,1
921,Boeing 787-9,Solo Leisure,Premium Economy,November 2019,3,2,1,3,4,,2,No,27th November 2019,3
922,,Couple Leisure,Economy Class,November 2019,1,2,,,1,,1,No,26th November 2019,1
923,,Solo Leisure,Economy Class,November 2019,2,3,2,2,1,2,1,No,23rd November 2019,1
924,Bombardier Q400,Couple Leisure,Economy Class,November 2019,1,2,3,1,3,,1,No,19th November 2019,2
