,Aircraft,Type of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Date of Post,Overall Rating (/10)
1125,,Solo Leisure,Economy Class,January 2019,,,,,1,,1,No,5th January 2019,1
1126,,Couple Leisure,Economy Class,January 2019,2,1,,,3,,1,No,4th January 2019,2
1127,,Couple Leisure,Economy Class,January 2019,2,3,,,1,,1,No,4th January 2019,1
1128,,Solo Leisure,Economy Class,November 2018,5,5,5,5,5,,5,Yes,3rd January 2019,10
1129,,Couple Leisure,Economy Class,July 2018,2,3,3,3,2,3,1,No,3rd January 2019,3
1130,Boeing 787,Couple Leisure,Business Class,December 2018,5,5,5,5,5,1,5,Yes,1st January 2019,10
1131,,Solo Leisure,Economy Class,December 2018,3,4,3,3,4,,1,Yes,1st January 2019,7
1132,,Solo Leisure,Economy Class,December 2018,3,4,2,4,4,5,2,No,30th December 2018,4
1133,,Family Leisure,Economy Class,November 2018,4,5,4,5,5,,4,Yes,30th December 2018,9
1134,,Solo Leisure,Economy Class,December 2018,4,4,3,2,2,,3,No,29th December 2018,2
1135,,Family Leisure,Premium Economy,December 2018,2,2,3,3,2,3,2,No,25th December 2018,3
1136,,Business,Business Class,December 2018,,,,,5,,3,Yes,22nd December 2018,10
1137,AC 173,Solo Leisure,Economy Class,December 2018,,,,,1,,1,No,19th December 2018,1
1138,,Business,Economy Class,December 2018,2,1,1,2,1,,1,No,16th December 2018,1
1139,,Couple Leisure,Economy Class,December 2018,2,1,1,,1,,2,No,15th December 2018,1
1140,,Business,Economy Class,December 2018,3,3,4,4,3,,2,No,14th December 2018,4
1141,,Solo Leisure,Economy Class,November 2018,1,2,1,,1,,1,No,12th December 2018,1
1142,,Family Leisure,Economy Class,November 2018,5,5,3,4,4,4,4,Yes,10th December 2018,9
1143,,Family Leisure,Economy Class,November 2018,1,5,4,4,5,,4,Yes,7th December 2018,10
1144,,Solo Leisure,Economy Class,November 2018,3,3,3,5,3,1,3,Yes,7th December 2018,7
1145,Boeing 777-300ER & Embraer E190,Solo Leisure,First Class,November 2018,4,4,,5,4,,4,Yes,7th December 2018,8
1146,Boeing 787-9,Solo Leisure,Premium Economy,December 2018,4,1,1,1,5,,3,No,7th December 2018,3
1147,,Solo Leisure,Business Class,November 2018,2,4,2,1,1,1,1,No,7th December 2018,1
1148,A320 / Boeing 767,Business,Economy Class,December 2018,3,4,1,,3,,3,Yes,6th December 2018,8
1149,A320,Business,Business Class,December 2018,4,4,4,4,1,,4,Yes,5th December 2018,7
1150,Boeing 787-9,Solo Leisure,Economy Class,December 2018,1,1,1,4,4,,4,No,4th December 2018,5
1151,,Couple Leisure,Economy Class,December 2018,3,3,4,4,1,1,2,No,3rd December 2018,4
1152,,Family Leisure,Economy Class,July 2018,1,3,1,,1,,1,No,2nd December 2018,1
1153,,Couple Leisure,Economy Class,November 2018,3,2,2,5,5,,2,No,2nd December 2018,3
1154,,Couple Leisure,Economy Class,November 2018,3,4,3,3,1,,2,No,30th November 2018,1
1155,Boeing 789,Solo Leisure,Premium Economy,November 2018,3,2,1,1,3,,1,No,28th November 2018,3
1156,,Couple Leisure,Economy Class,October 2018,1,1,,,1,,1,No,27th November 2018,1
1157,,Business,Economy Class,November 2018,4,3,2,1,1,,3,No,27th November 2018,3
1158,,Solo Leisure,Economy Class,January 2018,3,3,3,3,2,,1,No,26th November 2018,1
1159,A319,Couple Leisure,Economy Class,November 2018,,,,,1,,1,No,25th November 2018,1
1160,Boeing 787,Solo Leisure,Economy Class,November 2018,3,4,4,4,1,,1,No,24th November 2018,1
1161,CR2 / A320 / Boeing 787,Solo Leisure,Premium Economy,November 2018,4,4,4,5,4,1,5,Yes,21st November 2018,7
1162,Boeing 737-max 8,Solo Leisure,Business Class,October 2018,5,5,4,5,5,,4,Yes,19th November 2018,9
1163,Boeing 787-9,Solo Leisure,Economy Class,November 2018,1,3,2,3,2,,2,No,19th November 2018,2
1164,,Solo Leisure,Economy Class,November 2018,3,1,1,4,2,1,1,No,19th November 2018,1
1165,,Couple Leisure,Economy Class,November 2018,,,,,1,,1,No,19th November 2018,1
1166,,Business,Economy Class,November 2018,2,1,,,1,,1,No,17th November 2018,1
1167,,Business,Economy Class,November 2018,5,5,5,5,5,5,5,Yes,16th November 2018,10
1168,Boeing 777-200LR,Couple Leisure,Economy Class,November 2018,4,5,5,4,5,4,5,Yes,16th November 2018,10
1169,,Family Leisure,Economy Class,November 2018,1,1,1,1,1,1,1,No,15th November 2018,1
1170,,Solo Leisure,Premium Economy,October 2018,2,1,1,,1,,1,No,15th November 2018,1
1171,Boeing 787-9,Solo Leisure,Economy Class,November 2018,1,3,2,4,3,,2,No,9th November 2018,3
1172,Boeing 777,Solo Leisure,Premium Economy,October 2018,1,3,3,4,3,,2,No,9th November 2018,3
1173,Boeing 787,Family Leisure,Economy Class,October 2018,3,5,5,4,5,,5,Yes,6th November 2018,8
1174,,Solo Leisure,Economy Class,November 2018,1,1,,,1,,1,No,4th November 2018,1
1175,,Solo Leisure,Economy Class,October 2018,1,1,2,1,2,,2,No,31st October 2018,2
1176,,Business,Premium Economy,October 2018,4,5,4,4,4,,4,Yes,31st October 2018,9
1177,Boeing 777-200,Family Leisure,Economy Class,October 2018,1,1,1,3,2,1,2,No,26th October 2018,8
1178,Boeing 777-300,Solo Leisure,Economy Class,October 2018,4,5,3,4,5,,5,Yes,26th October 2018,9
1179,,Couple Leisure,Economy Class,October 2018,3,2,1,3,1,,2,No,22nd October 2018,1
1180,,Solo Leisure,Economy Class,October 2018,1,5,,,1,,1,No,20th October 2018,1
1181,,Couple Leisure,Economy Class,August 2018,2,1,1,,1,,1,No,20th October 2018,1
1182,,Business,Economy Class,July 2018,1,3,1,,1,,1,No,19th October 2018,1
1183,Boeing 787,Family Leisure,Economy Class,October 2018,4,5,4,4,4,,4,Yes,18th October 2018,9
1184,Boeing 777,Solo Leisure,Economy Class,October 2018,2,1,1,1,1,,1,No,14th October 2018,3
1185,,Solo Leisure,Economy Class,October 2018,3,3,,3,4,,1,No,11th October 2018,1
1186,Boeing 777-200 / 787-9,Solo Leisure,Economy Class,September 2018,3,4,3,2,2,,3,Yes,10th October 2018,6
1187,,Family Leisure,Economy Class,September 2018,5,5,5,5,5,,5,Yes,10th October 2018,10
1188,A320-200,Business,Economy Class,June 2018,1,1,,,1,,1,No,10th October 2018,1
1189,Boeing 787-9,Solo Leisure,Economy Class,September 2018,4,3,3,3,4,,3,Yes,9th October 2018,7
1190,Boeing 787-8,Couple Leisure,Premium Economy,September 2018,5,4,5,3,4,,5,Yes,9th October 2018,9
1191,Boeing 787,Family Leisure,Economy Class,October 2018,1,3,,3,3,,2,No,7th October 2018,2
1192,,Solo Leisure,Economy Class,September 2018,1,1,,,1,,1,No,7th October 2018,1
1193,Boeing 777,Business,Premium Economy,October 2018,2,1,2,1,3,,3,No,7th October 2018,6
1194,,Couple Leisure,Economy Class,October 2018,1,1,,,1,,1,No,6th October 2018,1
1195,Boeing 777,Couple Leisure,Economy Class,September 2018,4,5,4,5,5,5,5,Yes,6th October 2018,10
1196,,Business,Economy Class,October 2018,4,5,,,4,,4,Yes,5th October 2018,9
1197,,Solo Leisure,Economy Class,October 2018,2,3,,,2,,2,No,4th October 2018,4
1198,,Solo Leisure,Economy Class,September 2018,3,2,2,3,1,3,2,No,4th October 2018,1
1199,,Solo Leisure,Economy Class,October 2018,1,1,,,1,,1,No,3rd October 2018,1
1200,,Couple Leisure,Economy Class,September 2018,1,1,,,1,,1,No,24th September 2018,1
1201,Boeing 777,Solo Leisure,Economy Class,September 2018,2,1,1,1,1,,1,No,22nd September 2018,1
1202,Boeing 787-9,Couple Leisure,Economy Class,September 2018,3,4,,2,4,,4,Yes,21st September 2018,9
1203,Dreamliner,Business,Business Class,July 2018,3,3,1,3,2,,2,No,20th September 2018,3
1204,,Couple Leisure,Economy Class,August 2018,1,1,1,1,1,,1,No,19th September 2018,1
1205,,Family Leisure,Economy Class,September 2018,4,4,,,5,,5,Yes,19th September 2018,10
1206,,Business,Economy Class,September 2018,2,3,2,2,3,,3,No,18th September 2018,5
1207,A330-300,Couple Leisure,Business Class,September 2018,3,5,3,3,1,,3,Yes,16th September 2018,6
1208,Airbus,Business,Economy Class,September 2018,3,2,1,2,1,,2,No,16th September 2018,2
1209,,Business,Premium Economy,September 2018,3,4,4,4,1,,3,No,14th September 2018,1
1210,,Family Leisure,Economy Class,September 2018,3,3,2,3,1,1,1,No,12th September 2018,1
1211,Boeing 777-300,Family Leisure,Premium Economy,August 2018,1,4,2,2,3,1,1,No,11th September 2018,1
1212,,Couple Leisure,Premium Economy,September 2018,2,4,4,4,1,3,2,No,8th September 2018,3
1213,,Solo Leisure,Economy Class,August 2018,3,1,,,1,,2,No,8th September 2018,2
1214,Boeing 777-300ER,Solo Leisure,Business Class,August 2018,5,5,4,4,4,,5,Yes,7th September 2018,9
1215,Boeing 787,Business,Economy Class,September 2018,4,3,,,1,,1,No,6th September 2018,1
1216,,Solo Leisure,Economy Class,September 2018,,,,,1,,2,No,6th September 2018,3
1217,,Family Leisure,Business Class,June 2018,4,5,4,5,3,,5,Yes,6th September 2018,10
1218,Boeing 787,Couple Leisure,Economy Class,September 2018,1,3,1,5,2,,3,No,4th September 2018,4
1219,Boeing 777,Solo Leisure,Economy Class,August 2018,4,4,4,4,5,,4,Yes,1st September 2018,9
1220,,Solo Leisure,Economy Class,August 2018,3,4,3,,1,,2,No,30th August 2018,2
1221,Boeing 787,Solo Leisure,Business Class,August 2018,5,5,5,5,5,,4,Yes,25th August 2018,10
1222,,Family Leisure,Economy Class,August 2018,2,1,,,1,,2,No,23rd August 2018,2
1223,A320-200,Solo Leisure,Economy Class,August 2018,4,5,2,3,3,1,2,No,22nd August 2018,5
1224,,Couple Leisure,Economy Class,August 2018,,,,,2,,1,No,22nd August 2018,2
1225,,Couple Leisure,Economy Class,August 2018,3,4,4,4,3,,3,Yes,20th August 2018,7
1226,,Solo Leisure,Economy Class,August 2018,3,5,3,2,1,,2,No,20th August 2018,3
1227,Boeing 787-8,Solo Leisure,Business Class,August 2018,5,4,5,4,4,,5,Yes,19th August 2018,8
1228,Boeing 787,Business,Economy Class,July 2018,3,2,3,2,3,,3,Yes,19th August 2018,6
1229,Boeing 787,Business,Economy Class,July 2018,3,1,1,2,4,,3,Yes,17th August 2018,3
1230,E190,Business,Economy Class,June 2018,3,4,2,2,2,3,4,Yes,16th August 2018,6
1231,,Family Leisure,Economy Class,August 2018,2,3,,,1,,1,No,14th August 2018,2
1232,Boeing 777-300,Couple Leisure,Business Class,July 2018,5,5,5,4,3,,5,Yes,13th August 2018,9
1233,Boeing 787,Family Leisure,Economy Class,August 2018,5,5,2,5,3,2,5,Yes,9th August 2018,10
1234,,Solo Leisure,Economy Class,August 2018,2,2,2,2,1,1,1,No,9th August 2018,2
1235,,Family Leisure,Economy Class,August 2018,4,1,1,3,1,3,1,No,8th August 2018,1
1236,Boeing 777-300,Couple Leisure,Business Class,June 2018,5,3,3,4,5,,5,Yes,7th August 2018,7
1237,,Couple Leisure,Economy Class,August 2018,1,1,1,,2,,1,No,5th August 2018,1
1238,,Business,Business Class,July 2018,1,1,,,1,,1,No,3rd August 2018,1
1239,,Couple Leisure,Economy Class,July 2018,2,5,,,1,,1,No,1st August 2018,2
1240,Boeing 787,Family Leisure,Economy Class,July 2018,4,4,3,5,1,,4,Yes,31st July 2018,6
1241,Boeing 777-300ER,Solo Leisure,Economy Class,July 2018,3,5,4,5,5,3,4,Yes,31st July 2018,9
1242,Boeing 787,Business,Economy Class,July 2018,2,4,3,3,1,,1,No,29th July 2018,1
1243,,Business,Premium Economy,July 2018,,,,,1,,1,No,27th July 2018,1
1244,,Solo Leisure,Economy Class,July 2018,2,2,,,1,,1,No,25th July 2018,1
1245,,Couple Leisure,Economy Class,July 2018,,,,,,,1,No,24th July 2018,1
1246,Boeing 737Max,Family Leisure,Economy Class,July 2018,4,4,5,4,4,3,5,Yes,24th July 2018,10
1247,,Business,Economy Class,July 2018,2,2,1,1,1,,1,No,23rd July 2018,1
1248,Boeing 777-300ER,Solo Leisure,Economy Class,May 2018,4,5,3,5,5,,5,Yes,23rd July 2018,9
1249,Boeing 787,Couple Leisure,Business Class,July 2018,5,5,5,3,5,5,4,Yes,21st July 2018,10
1250,,Business,Economy Class,July 2018,5,5,5,5,1,5,1,No,19th July 2018,1
1251,,Family Leisure,Economy Class,July 2018,1,,,,1,,1,No,19th July 2018,1
1252,Boeing 787-9,Solo Leisure,Business Class,July 2018,5,4,5,5,3,,4,Yes,18th July 2018,9
1253,Boeing 789,Couple Leisure,Economy Class,July 2018,1,2,1,2,3,,3,No,17th July 2018,3
1254,Boeing 787-9,Solo Leisure,Business Class,July 2018,5,5,5,5,5,,4,Yes,16th July 2018,10
1255,Boeing 737 MAX,Solo Leisure,Premium Economy,July 2018,5,5,5,5,5,,4,Yes,15th July 2018,10
1256,,Solo Leisure,Economy Class,July 2018,5,5,5,5,5,5,5,Yes,15th July 2018,10
1257,,Solo Leisure,Economy Class,June 2018,1,1,,,1,,1,No,13th July 2018,1
1258,,Solo Leisure,Business Class,July 2018,3,3,2,2,3,,3,No,13th July 2018,7
1259,,Solo Leisure,Business Class,July 2018,2,3,2,1,1,,1,No,13th July 2018,2
1260,,Business,Economy Class,July 2018,1,1,,,1,,1,No,12th July 2018,1
1261,,Solo Leisure,Economy Class,July 2018,1,2,2,3,1,1,1,No,12th July 2018,2
1262,,Family Leisure,Economy Class,July 2018,2,2,,,1,,1,No,12th July 2018,1
1263,,Family Leisure,Economy Class,July 2018,4,5,4,5,5,5,4,Yes,12th July 2018,10
1264,,Solo Leisure,Economy Class,July 2018,2,1,,,1,,1,No,11th July 2018,1
1265,A320,Solo Leisure,Economy Class,July 2018,1,1,1,,1,,1,No,10th July 2018,1
1266,,Business,Economy Class,June 2018,3,3,1,1,2,1,1,No,10th July 2018,1
1267,,Solo Leisure,Economy Class,June 2018,4,4,5,4,4,5,4,No,10th July 2018,1
1268,,Family Leisure,Economy Class,July 2018,4,2,2,1,2,1,3,No,9th July 2018,4
1269,,Couple Leisure,Economy Class,July 2018,1,1,,,1,,1,No,4th July 2018,1
1270,,Solo Leisure,Economy Class,June 2018,1,3,3,1,1,1,1,No,3rd July 2018,1
1271,Dash 8,Business,Economy Class,June 2018,1,3,,,2,,1,No,29th June 2018,1
1272,,Solo Leisure,Economy Class,June 2018,5,5,,,5,,4,Yes,28th June 2018,9
1273,,Family Leisure,Economy Class,June 2018,1,1,1,3,1,1,1,No,25th June 2018,1
1274,,Family Leisure,Premium Economy,June 2018,1,1,1,3,1,,1,No,25th June 2018,1
1275,Boeing 767,Business,Economy Class,June 2018,3,2,1,2,3,,2,No,25th June 2018,5
1276,A330,Couple Leisure,Premium Economy,May 2018,4,3,3,4,4,3,3,Yes,22nd June 2018,6
1277,,Solo Leisure,Economy Class,June 2018,2,2,2,3,1,,2,No,22nd June 2018,2
1278,,Family Leisure,Economy Class,June 2018,3,5,2,,5,,5,Yes,18th June 2018,10
1279,,Business,Economy Class,June 2018,1,1,,,1,,1,No,15th June 2018,1
1280,,Family Leisure,Economy Class,June 2018,3,5,4,4,5,3,4,Yes,13th June 2018,10
1281,A340-300,Solo Leisure,Business Class,June 2018,1,1,1,1,1,1,5,No,12th June 2018,4
1282,,Solo Leisure,Economy Class,May 2018,5,5,5,5,5,5,5,Yes,5th June 2018,10
1283,,Solo Leisure,Economy Class,June 2018,3,3,1,2,2,,3,No,5th June 2018,3
1284,E190,Business,Business Class,June 2018,5,5,5,5,5,2,5,Yes,4th June 2018,9
1285,Boeing 767-300ER,Solo Leisure,Economy Class,May 2018,4,4,1,4,4,,4,Yes,4th June 2018,7
1286,Boeing 787-9,Couple Leisure,Economy Class,May 2018,4,5,1,5,4,,4,Yes,3rd June 2018,8
1287,A320,Solo Leisure,Economy Class,May 2018,3,3,,,1,,2,No,24th May 2018,3
1288,,Couple Leisure,Economy Class,May 2018,3,1,,,1,,1,No,18th May 2018,1
1289,Boeing 777-300ER,Solo Leisure,Economy Class,May 2018,2,4,2,3,1,,3,No,15th May 2018,4
1290,Boeing 787,Business,Business Class,May 2018,5,5,2,3,5,,4,Yes,12th May 2018,8
1291,,Solo Leisure,Economy Class,May 2018,1,2,2,,1,,1,No,6th May 2018,1
1292,,Solo Leisure,Economy Class,May 2018,1,,,,1,,1,No,6th May 2018,1
1293,,Solo Leisure,Economy Class,March 2018,3,2,3,3,1,3,3,No,4th May 2018,1
1294,,Family Leisure,Economy Class,April 2018,2,1,1,,1,,3,No,2nd May 2018,2
1295,,Couple Leisure,Economy Class,April 2018,4,5,5,4,5,,5,Yes,30th April 2018,10
1296,Boeing 787,Family Leisure,Business Class,April 2018,5,5,5,4,5,,5,Yes,23rd April 2018,9
1297,,Solo Leisure,Economy Class,April 2018,,,,,,,5,Yes,21st April 2018,10
1298,,Couple Leisure,Economy Class,April 2018,4,2,2,3,4,3,5,Yes,21st April 2018,4
1299,,Solo Leisure,Economy Class,April 2018,2,1,,,1,1,2,No,21st April 2018,2
1300,,Business,Business Class,March 2018,3,2,3,3,1,1,1,No,20th April 2018,1
1301,,Business,Economy Class,April 2018,2,3,3,3,1,2,1,No,20th April 2018,3
1302,,Business,Economy Class,April 2018,,,,,2,2,2,No,19th April 2018,2
1303,,Solo Leisure,Economy Class,April 2018,1,2,,,1,,1,No,17th April 2018,1
1304,,Family Leisure,Economy Class,April 2018,1,1,2,4,1,,1,No,16th April 2018,1
1305,,Business,Economy Class,April 2018,2,3,,2,1,,2,No,16th April 2018,1
1306,Boeing 777-200LR,Solo Leisure,Economy Class,April 2018,2,1,2,2,2,,2,No,15th April 2018,3
1307,,Solo Leisure,Economy Class,April 2018,,,,,,,2,No,10th April 2018,1
1308,,Family Leisure,Economy Class,April 2018,5,5,,5,5,5,5,Yes,10th April 2018,10
1309,,Business,Economy Class,April 2018,2,1,2,2,1,3,1,No,8th April 2018,1
1310,,Business,Economy Class,April 2018,1,1,,,1,,1,No,7th April 2018,1
1311,,Family Leisure,Economy Class,May 2017,3,4,,,4,,1,No,7th April 2018,1
1312,,Couple Leisure,Economy Class,March 2018,3,3,,,2,,2,Yes,4th April 2018,5
1313,,Couple Leisure,Economy Class,March 2018,3,4,1,3,1,,3,No,1st April 2018,4
1314,Bombardier Q400,Business,Economy Class,March 2018,1,2,,,1,,1,No,31st March 2018,1
1315,,Couple Leisure,Economy Class,February 2018,1,1,,,1,,1,No,29th March 2018,1
1316,A321-200,Business,Economy Class,March 2018,4,5,5,4,4,4,5,Yes,29th March 2018,8
1317,,Solo Leisure,Economy Class,March 2018,3,3,3,3,1,3,2,No,27th March 2018,3
1318,,Solo Leisure,Economy Class,March 2018,1,1,,,1,,1,No,26th March 2018,1
1319,A321-200,Family Leisure,Economy Class,March 2018,2,5,2,1,2,,2,No,26th March 2018,3
1320,,Business,Economy Class,March 2018,1,2,1,1,2,1,1,No,23rd March 2018,1
1321,,Solo Leisure,Economy Class,March 2018,1,1,,,1,,1,No,22nd March 2018,1
1322,A321-200,Family Leisure,Economy Class,March 2018,4,5,4,5,4,,4,Yes,20th March 2018,9
1323,A330-300,Couple Leisure,Business Class,December 2017,3,4,4,3,5,,4,Yes,15th March 2018,8
1324,,Business,Economy Class,February 2018,3,1,1,3,3,2,3,No,14th March 2018,4
1325,,Family Leisure,Economy Class,March 2018,1,3,1,1,2,,1,No,11th March 2018,1
1326,Boeing 777-200LR,Couple Leisure,Premium Economy,February 2018,2,4,2,2,2,,2,No,9th March 2018,3
1327,,Business,Economy Class,March 2018,4,5,5,,5,,5,Yes,5th March 2018,10
1328,,Solo Leisure,Economy Class,January 2018,3,3,2,2,3,,2,No,4th March 2018,4
1329,A320,Solo Leisure,Economy Class,January 2018,1,2,,1,2,,2,No,4th March 2018,4
1330,,Family Leisure,Economy Class,February 2018,5,5,5,5,5,5,5,Yes,3rd March 2018,10
1331,,Family Leisure,Economy Class,February 2018,5,5,5,,5,,5,Yes,3rd March 2018,10
1332,,Solo Leisure,Economy Class,January 2018,1,1,,,1,,1,No,28th February 2018,1
1333,,Couple Leisure,Economy Class,February 2018,1,2,3,3,1,2,1,No,28th February 2018,1
1334,,Solo Leisure,Economy Class,February 2018,1,1,,,1,,1,No,27th February 2018,1
1335,,Couple Leisure,Economy Class,February 2018,2,2,1,3,2,4,2,No,26th February 2018,4
1336,Boeing 777-ER,Couple Leisure,Economy Class,February 2018,2,4,2,3,2,,5,Yes,25th February 2018,6
1337,A320,Couple Leisure,Economy Class,February 2018,1,1,1,1,1,2,1,No,25th February 2018,2
1338,Boeing 787-9,Family Leisure,Economy Class,February 2018,2,4,3,4,3,,2,No,24th February 2018,3
1339,A330-343,Family Leisure,Economy Class,February 2018,4,4,4,4,4,,4,Yes,20th February 2018,7
1340,,Solo Leisure,Economy Class,February 2018,3,1,1,3,3,,3,No,16th February 2018,2
1341,,Solo Leisure,Economy Class,January 2018,1,3,2,,1,,3,No,12th February 2018,1
1342,A319,Business,Economy Class,February 2018,4,5,3,4,4,1,5,Yes,11th February 2018,8
1343,A330,Couple Leisure,Business Class,February 2018,2,2,3,2,2,,3,No,11th February 2018,2
1344,E175,Business,Business Class,February 2018,3,3,2,3,5,,2,Yes,9th February 2018,4
1345,,Solo Leisure,Economy Class,February 2018,2,2,1,1,1,1,2,No,6th February 2018,1
1346,A321,Solo Leisure,Economy Class,February 2018,3,,,,1,,1,No,4th February 2018,1
1347,,Business,Economy Class,February 2018,3,3,1,1,1,1,1,No,1st February 2018,2
1348,Boeing 777-200,Solo Leisure,Economy Class,December 2017,4,5,4,5,5,,5,Yes,30th January 2018,9
1349,,Family Leisure,Economy Class,January 2018,3,2,1,2,2,1,1,No,22nd January 2018,3
1350,A321,Business,Business Class,January 2018,4,5,5,4,4,,4,Yes,20th January 2018,9
1351,,Couple Leisure,Economy Class,January 2018,1,1,,,1,,1,No,19th January 2018,1
1352,,Solo Leisure,Economy Class,December 2017,1,1,1,1,1,1,1,No,16th January 2018,1
1353,,Solo Leisure,Economy Class,January 2018,1,3,3,4,1,3,1,No,16th January 2018,1
1354,A321-200,Family Leisure,Economy Class,January 2018,5,5,5,4,3,,4,Yes,15th January 2018,9
1355,,Couple Leisure,Economy Class,January 2018,2,2,1,1,2,1,1,No,15th January 2018,3
1356,A320,Couple Leisure,Economy Class,January 2018,4,1,1,3,1,1,1,No,14th January 2018,1
1357,,Business,Economy Class,January 2018,2,2,2,2,1,,2,No,13th January 2018,2
1358,,Business,Economy Class,January 2018,1,1,1,1,1,1,1,No,12th January 2018,1
1359,Dash 8/A320,Solo Leisure,Economy Class,January 2018,1,2,1,3,1,3,1,No,12th January 2018,1
1360,Boeing 787-8,Couple Leisure,Economy Class,January 2018,1,1,1,1,1,1,1,No,12th January 2018,1
1361,A330-300,Family Leisure,Economy Class,January 2018,3,1,4,3,5,,5,Yes,11th January 2018,9
1362,Boeing 777 / 787 / DASH 8,Solo Leisure,Economy Class,January 2018,2,3,2,3,1,3,1,No,10th January 2018,1
1363,Boeing 787-9,Solo Leisure,Premium Economy,December 2017,5,5,5,5,4,,5,Yes,8th January 2018,10
1364,Bombardier CRJ705,Business,Economy Class,January 2018,2,3,2,2,2,,3,No,8th January 2018,1
1365,,Couple Leisure,Economy Class,January 2018,2,3,3,2,1,,2,No,7th January 2018,3
1366,,Couple Leisure,Economy Class,December 2017,4,3,1,4,2,,2,No,3rd January 2018,3
1367,,Couple Leisure,Premium Economy,December 2017,1,1,1,,1,,1,No,1st January 2018,2
1368,,Solo Leisure,Economy Class,December 2017,1,3,,,1,,1,No,31st December 2017,1
1369,A319,Business,Economy Class,March 2017,3,4,,1,1,,3,Yes,31st December 2017,5
1370,,Family Leisure,Economy Class,December 2017,4,2,2,4,2,,2,No,31st December 2017,3
1371,,Couple Leisure,Economy Class,August 2017,2,2,,,2,,1,No,30th December 2017,1
1372,,Couple Leisure,Economy Class,December 2017,2,2,2,,1,,1,No,29th December 2017,2
1373,A320 & Dash-8 Q400,Couple Leisure,Economy Class,December 2017,5,4,2,3,5,,4,Yes,29th December 2017,8
1374,,Couple Leisure,Economy Class,December 2017,,,,,1,,1,No,28th December 2017,1
1375,Airbus,Couple Leisure,Economy Class,December 2017,2,2,2,,1,,1,No,26th December 2017,1
1376,,Couple Leisure,First Class,December 2017,3,2,1,1,2,1,2,No,25th December 2017,3
1377,,Family Leisure,Premium Economy,December 2017,4,3,3,1,2,,2,No,24th December 2017,5
1378,,Solo Leisure,Economy Class,December 2017,3,2,,,2,,1,No,24th December 2017,2
1379,,Solo Leisure,Economy Class,December 2017,1,1,,,1,,1,No,24th December 2017,1
1380,,Family Leisure,Economy Class,December 2017,1,1,,,1,,1,No,23rd December 2017,1
1381,,Couple Leisure,Economy Class,December 2017,4,5,4,,4,,3,No,19th December 2017,5
1382,,Solo Leisure,Economy Class,December 2017,1,1,,,1,,1,No,19th December 2017,2
1383,,Family Leisure,Economy Class,December 2017,1,1,1,3,2,,2,No,18th December 2017,1
1384,Bombardier Dash-8 (Q400),Solo Leisure,Economy Class,December 2017,4,5,4,,5,,5,Yes,11th December 2017,10
1385,Boeing 787-9,Solo Leisure,Premium Economy,November 2017,3,1,1,4,3,3,1,No,10th December 2017,3
1386,,Business,Economy Class,December 2017,1,1,1,1,1,1,1,No,9th December 2017,1
1387,Boeing 787-8,Couple Leisure,Economy Class,November 2017,5,5,3,4,4,,4,Yes,5th December 2017,9
1388,,Solo Leisure,Economy Class,November 2017,4,5,5,5,5,5,5,Yes,5th December 2017,10
1389,,Couple Leisure,Economy Class,November 2017,3,4,1,3,3,,2,No,30th November 2017,5
1390,CRJ9,Solo Leisure,First Class,November 2017,1,2,2,,1,,2,No,24th November 2017,3
1391,,Business,Economy Class,November 2017,3,2,2,,1,,1,No,24th November 2017,1
1392,Boeing 767,Couple Leisure,Economy Class,November 2017,,,,,2,,1,No,23rd November 2017,1
1393,,Couple Leisure,Economy Class,November 2017,1,2,,,1,,1,No,21st November 2017,1
1394,Dash-8,Business,Economy Class,November 2017,1,1,,,2,,1,No,21st November 2017,1
1395,Boeing 777,Solo Leisure,Economy Class,November 2017,3,3,3,4,4,,4,Yes,15th November 2017,8
1396,Embraer 175,Business,Economy Class,July 2017,2,4,,2,1,,3,Yes,10th November 2017,7
1397,Boeing 777-300,Business,Economy Class,July 2017,2,4,4,2,1,,3,Yes,10th November 2017,7
1398,ERJ175,Solo Leisure,Business Class,July 2017,4,4,5,4,3,,5,Yes,9th November 2017,8
1399,,Solo Leisure,Economy Class,November 2017,4,4,3,3,1,,3,No,8th November 2017,1
1400,,Business,Economy Class,October 2017,1,1,1,1,1,1,1,No,5th November 2017,1
1401,,Business,Economy Class,October 2017,3,2,,,1,,1,No,5th November 2017,1
1402,,Business,Economy Class,November 2017,1,1,1,1,1,1,1,No,3rd November 2017,1
1403,,Business,Economy Class,October 2017,1,1,1,1,1,1,1,No,28th October 2017,1
1404,,Couple Leisure,Economy Class,September 2017,1,3,,,2,,1,No,26th October 2017,1
1405,,Business,Business Class,October 2017,5,5,5,5,4,3,5,Yes,25th October 2017,10
1406,Boeing 767-300ER,Couple Leisure,Economy Class,October 2017,2,1,1,2,1,,1,No,21st October 2017,2
1407,,Solo Leisure,Economy Class,September 2017,2,2,1,2,1,,2,No,21st October 2017,2
1408,,Family Leisure,Economy Class,October 2017,2,1,,,4,,2,No,20th October 2017,1
1409,A320,Solo Leisure,Economy Class,October 2017,1,2,1,2,1,,1,No,18th October 2017,1
1410,,Family Leisure,Economy Class,September 2017,1,1,1,,1,,1,No,14th October 2017,1
